"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A model of water thermal-hydraulics during depressurization of a vessel filled with water under saturation conditions","R. Bryk; H. Schmidt; T. Mull; O. Herbst; I. Ganzmann","Institute of Heat Engineering, Warsaw University of Technology, Warsaw, Poland; Thermal Hydraulics and Components Testing, Framatome GmbH, Erlangen, Germany; Thermal Hydraulics and Components Testing, Framatome GmbH, Erlangen, Germany; Thermal Hydraulics and Components Testing, Framatome GmbH, Erlangen, Germany; Thermal Hydraulics and Components Testing, Framatome GmbH, Erlangen, Germany","2018 International Interdisciplinary PhD Workshop (IIPhDW)","","2018","","","8","12","This paper discusses results obtained during the simulation of water dynamics and heat transfer during sudden depressurization of a vessel filled with water under the saturation conditions. Validated prediction of the thermal-hydraulics during the depressurization is important by virtue of wide implementation of pressurized vessels in chemical and power engineering. Particular emphasis was put on the implementation of the vessel in the field of steam storage and as the reactor pressure vessel of the boiling water reactor design. In both cases, the vessel is filled up to a certain level with saturated liquid water. The rest of the vessel is occupied by saturated steam. In case of the pressure decrease e.g. due to discharging of the steam from the vessel or due to the loss of coolant accident in a nuclear power plant, the liquid water evaporates abruptly, being a reason, thereby, of strong transients in the vessel. These transients and the sudden emergence of void in the region occupied at the beginning by liquid, cause elevation of the two-phase mixture. Prediction of this elevation - called the water level swell - is important from the view point of safe operation of the device. In this work, a model calculating liquid water collapse level and two-phase level swell is presented and validated against experimental data. The comparison of the model with the reference shows a good agreement.","","978-1-5386-6143-7","10.1109/IIPHDW.2018.8388234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8388234","thermal-hydraulics;level swell;vessel depressurization;Modelica","Mathematical model;Liquids;Object oriented modeling;Correlation;Heat transfer;Heating systems;Pressure measurement","fission reactor accidents;fission reactor coolants;fission reactor cooling;heat transfer;light water reactors;nuclear engineering computing;pressure vessels;two-phase flow;water","liquid water collapse level;two-phase mixture;loss-of-coolant accident;water thermal-hydraulic model;liquid water evaporates;saturated steam;saturated liquid water;boiling water reactor design;reactor pressure vessel;pressurized vessels;depressurization;heat transfer;water dynamics;saturation conditions","","","16","","","","","IEEE","IEEE Conferences"
"5G Experimentation Framework: Architecture Specifications, Design and Deployment","L. Yala; S. Cherrared; G. Panek; S. Imadali; A. Bousselmi","Orange France,Paris,France; Orange France,Paris,France; Warsaw University of Technology,Warsaw,Poland; Orange France,Paris,France; Orange France,Paris,France","2020 23rd Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)","","2020","","","159","161","In this paper we present a 5G design and deployment framework within the 5G-EVE European project which aims at interconnecting multiple sites in order to form a single 5G end-to-end facility. Each partner of the project proposes 5G solution elements that will host use-cases brought by verticals. In this paper we present Plug'in as a design framework allowing different partners of the 5G-EVE project and verticals to create and test innovative components for 5G. We also present how components such as VNFs are on-boarded within 5G-EVE and finally we give a quick overview of a vertical's workflow.","2472-8144","978-1-7281-5127-4","10.1109/ICIN48450.2020.9059458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059458","5G;5G experimentation;NFV;VNF;CNF;xNF","5G mobile communication;Software;Tools;Cloud computing;Europe;Documentation;Industries","","","","","7","","","","","IEEE","IEEE Conferences"
"Application of visual speech synthesis in therapy of auditory verbal hallucinations","K. Sorokosz","Institute of Telecommunications, Warsaw University of Technology, Nowowiejska 15/19, 00-665 Warsaw, Poland","2018 International Interdisciplinary PhD Workshop (IIPhDW)","","2018","","","17","20","In this article the application of a visual speech synthesis system in the therapy of auditory verbal hallucinations is presented. In the demonstrated proof-of-concept implementation an animated talking head driven by a synthetic voice converses with the patient. The proposed system integrates the XFace face model, synthetic voice generated by text-to-speech systems available on the market and the custom automatic lip synchronization algorithm. The article describes the signal processing algorithms used in the proposed system and opinions gathered from twelve patients after the treatment process. Most of the patients admitted that they changed their attitude to the hallucinations thanks to the avatar based therapy, and they were also satisfied with the audio video content presented during the therapy.","","978-1-5386-6143-7","10.1109/IIPHDW.2018.8388236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8388236","","Avatars;Medical treatment;Speech synthesis;Visualization;Face;Synchronization;Signal processing algorithms","avatars;computer animation;speech processing;speech synthesis;synchronisation","auditory verbal hallucinations;visual speech synthesis system;animated talking head;XFace face model;text-to-speech systems;signal processing algorithms;avatar based therapy;synthetic voice;automatic lip synchronization algorithm","","","17","","","","","IEEE","IEEE Conferences"
"Control of a multi-terminal DC transmission system with reduced power oscillation","C. Alcota; M. A. Perez; J. R. Espinoza; M. Malinowski","Universidad Tecnica, Federico Santa Maria, Avenida Espana 1680, Valparaiso, Chile; Universidad Tecnica, Federico Santa Maria, Avenida Espana 1680, Valparaiso, Chile; Universidad de Concepcion, Concepcion, Chile; Warsaw University of Technology, Koszykowa 75, Warsaw, Poland","2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe)","","2017","","","P.1","P.7","The control of multiterminal HVDC systems based on local variables has shown a better performance, in terms of dynamical response and implementation simplicity, than constant DC voltage and droop control. However, power oscillations can be produced due to the interaction among different HVDC stations. In this paper, a modified control logic for this type of control is proposed in order to reduce the power oscillations generated when the HVDC stations change its operation mode. The new control logic locks the operating mode of each station for a given time avoiding interactions with other HVDC stations after sudden changes in the DC voltage or power.","","978-90-75815-27-6","10.23919/EPE17ECCEEurope.2017.8099399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099399","Converter Control;HVDC;Voltage Source Converter(VSC)","Voltage control;HVDC transmission;Oscillators;Europe;Laser mode locking;Power markets;Field programmable gate arrays","dynamic response;HVDC power convertors;HVDC power transmission;oscillations;power transmission control","multiterminal DC transmission system;reduced power oscillation;multiterminal HVDC systems;HVDC stations;modified control logic;power oscillations;droop control;dynamical response","","","19","","","","","IEEE","IEEE Conferences"
"Microwave Activities in Poland","J. Modelski","Warsaw University of Technology, Warsaw, Poland","2019 European Microwave Conference in Central Europe (EuMCE)","","2019","","","225","228","This paper describes a short history of the microwave and radar technology in Poland. Main activities and recent achievements of five leading Universities and primary producer of radar systems are presented.","","978-2-87487-067-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8874718","microwave components;antennas;T/R modules;radars;electromagnetic simulations;measurements;EMC","Microwave filters;Microwave measurement;Microwave amplifiers;Microwave antennas","radar applications","main activities;leading Universities;primary producer;radar systems;microwave activities;Poland;radar technology","","","37","","","","","IEEE","IEEE Conferences"
"Soil salinity characterization based on 0.05–3 GHz dielectric permittivity measurements","A. Wilczek; A. Szyplowska; A. Lewandowski; M. Kafarski; J. Szerement; W. Skierucha","Institute of Agrophysics, Polish Academy of Sciences, Doswiadczalna 4, 20-290 Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Doswiadczalna 4, 20-290 Lublin, Poland; Warsaw University of Technology, Institute of Electronic Systems, 00-665 Warsaw, Poland; Institute of Agrophysics, Polish Academy of Sciences, Doswiadczalna 4, 20-290 Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Doswiadczalna 4, 20-290 Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Doswiadczalna 4, 20-290 Lublin, Poland","2017 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)","","2017","","","1","3","Soil pore-water electrical conductivity is an important measure of soil salinity as it directly depends on the amount of ions present in the pore-water. Its direct measurement is difficult, however, it can be determined indirectly from bulk electrical conductivity and dielectric permittivity measurements based on theoretical or empirical models. This paper presents an application of one of those models - the salinity index model - for soil salinity characterization. Complex relative dielectric permittivity spectra of soil samples were measured in 0.05-3 GHz frequency range and then the multipole Debye model was fitted to those measurements in order to determine soil bulk electrical conductivity and the contribution of the free-water-dipole dielectric relaxation to dielectric permittivity. The linear relation between soil bulk electrical conductivity and high-frequency dielectric permittivity was obtained for the tested silt-loam soil which was consistent with the salinity index model. These results confirmed that the salinity index model can be applied using the proposed methodology to determine the soil salinity.","","978-1-5386-0480-9","10.1109/IMWS-AMP.2017.8247431","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247431","soil complex relative dielectric permittivity;vector network analyzer;salinity index model","Dielectrics;Soil;Salinity (geophysical);Permittivity;Conductivity;Indexes;Permittivity measurement","electrical conductivity;permittivity measurement;salinity (geophysical);soil;water","silt-loam soil;dielectric permittivity spectra;dielectric permittivity measurements;high-frequency dielectric permittivity;free-water-dipole dielectric relaxation;soil bulk electrical conductivity;multipole Debye model;soil samples;salinity index model;soil pore-water electrical conductivity;soil salinity characterization;frequency 0.05 GHz to 3.0 GHz","","1","14","","","","","IEEE","IEEE Conferences"
"Application of capacitance-to-digital converter to investigate dielectric properties of spark plugs insulators","B. Fryskowski","Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland","2017 18th International Conference on Computational Problems of Electrical Engineering (CPEE)","","2017","","","1","4","The majority of today's road vehicles are powered with spark ignition combustion engines. Spark plugs are required then to ignite air - fuel mixture within engines fueled with gasoline. The efficiency of the combustion process and spark ignition engines fuel economy depend significantly on ignition circuit providing high voltage to discharge a spark between the electrodes of a spark plug. Hence, spark plugs parameters, their quality and condition are of importance. This paper describes a novel method of spark plug testing based on the low capacitance measurement using a sigma-delta capacitance-to-digital converter. Theoretical spark plug capacitance analysis, some results of spark plugs capacitance measurement and ceramic insulator dielectric constant calculation are presented and discussed.","","978-1-5386-1040-4","10.1109/CPEE.2017.8093041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8093041","sigma-delta conversion;capacitance-to-digital converter;spark plug;ceramic insulator;dielectric constant;capacitance measurement;automotive ignition systems","Capacitance;Sparks;Plugs;Insulators;Capacitance measurement;Electrodes;Ceramics","capacitance measurement;ceramic insulators;combustion;fuel economy;ignition;internal combustion engines;permittivity;road vehicles;sparks","ignition circuit;spark plug testing;low capacitance measurement;sigma-delta capacitance-to-digital converter;dielectric properties;road vehicles;spark ignition combustion engines;combustion process;air-fuel mixture;spark plug capacitance analysis;spark plug parameters;spark ignition engine fuel economy;spark plug capacitance measurement;spark plug insulators","","","6","","","","","IEEE","IEEE Conferences"
"A 50Gbit/s Net NRZ Error-Free 850nm VCSEL Based Optical Interconnect","L. Chorchos; N. Ledentsov; M. Agustin; V. A. Shchukin; V. P. Kalosha; J. P. Turkiewicz; N. N. Ledentsov","VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany; VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany; VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany; VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany; VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany; Warsaw University of Technology, Nowowiejska 15/19, Warsaw, 00-661, Poland; VI Systems GmbH, Hardenbergstr. 7, Berlin, 10623, Germany","2019 IEEE Optical Interconnects Conference (OI)","","2019","","","1","2","We present an 850nm multimode VCSEL based optical interconnect operating error free with the net data rates up to 50Gbit/s. The transmitter and receiver are fabricated in 130nm BICMOS and the total power consumption of the link goes down to record 4.7pJ/bit at 54Gbit/s.","","978-1-7281-1496-5","10.1109/OIC.2019.8714421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8714421","","Vertical cavity surface emitting lasers;Optical transmitters;Bandwidth;Receivers;Integrated circuits;Forward error correction;Data communication","optical interconnections;surface emitting lasers","net NRZ error-free;optical interconnect operating error;net data rates;transmitter;receiver;multimode VCSEL;BICMOS;bit rate 50.0 Gbit/s;size 850.0 nm;size 130.0 nm;energy 4.7 pJ;bit rate 54.0 Gbit/s","","","5","","","","","IEEE","IEEE Conferences"
"Application of data video recorder in reconstruction of road accidents","M. Abramowski","Institute of Vehicles of Warsaw University of Technology, 02-524 Warsaw, Poland","2018 XI International Science-Technical Conference Automotive Safety","","2018","","","1","6","The article presents the theoretical assumptions of the analysis of images recorded by the video recorder in an accident. Several methods described in this article demonstrate the use of video recordings by the DVR (data video recorder - as well as surveillance traffic cameras) which are further analyzed and determine a lot of valuable information to facilitate the reconstruction of road accidents. Calculation of speed, velocity and energy presented in this paper are based on the data obtained from the optical system video recorder and factors such as recording speed film sequences, geometrical size of characteristic point and geometrical size and position of characteristic point of the area. It has been proposed as a way of calculation that takes into account these values. There were also presented the examples of three cases from research confirming the correctness of assumptions. The idea is to build a tool to support an expert in accident reconstruction, to be used in the reconstruction of recordings from recording devices.","","978-1-5386-4578-9","10.1109/AUTOSAFE.2018.8373327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8373327","data video recorder (DVR);image analysis;reconstruction of road accidents;road traffic safety","Image reconstruction;Automobiles;Cameras;Optical recording;Acceleration;Road accidents;Optical films","image reconstruction;road accidents;road safety;video recording;video surveillance","characteristic point;accident reconstruction;recording devices;data video recorder;road accidents;video recordings;optical system video recorder;geometrical size","","1","4","","","","","IEEE","IEEE Conferences"
"The Effect of Storage Time on Dielectric Properties of Pasteurized Milks and Yoghurt","J. Szerement; A. Szypłowska; M. Kafarski; A. Wilczek; A. Lewandowski; W. Skierucha","Institute of Agrophysics, Polish Academy of Sciences, Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Lublin, Poland; Institute of Agrophysics, Polish Academy of Sciences, Lublin, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Agrophysics, Polish Academy of Sciences, Lublin, Poland","2018 12th International Conference on Electromagnetic Wave Interaction with Water and Moist Substances (ISEMA)","","2018","","","1","9","The aim of the study was to investigate the effect of storage time on complex dielectric permittivity of opened milk with different fat content and of a natural yoghurt. The measurements were conducted using a vector network analyzer and an open-ended coaxial-line probe in the frequency range from 200 MHz to 20 GHz at 9±0.5oC. The results showed that the real part of dielectric permittivity of the tested products decreased with an increase of frequency, while the imaginary part of dielectric permittivity increased below 14.3 GHz for yoghurt and 13.6 GHz for milks and decreased above those frequencies. During storage the real part of dielectric permittivity of yoghurt and milks slightly decreased. The value of the imaginary part of dielectric permittivity varied much more for milks during time storage. The changes of the imaginary part of dielectric permittivity of the tested products were associated with the changes of pH value. Finally, complex dielectric permittivity spectra of the measured products were modeled with the two-pole and three-pole Debye model. Three-pole Debye function was better fitting to the results.","","978-1-5386-4593-2","10.1109/ISEMA.2018.8442291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8442291","dairy products;complex dielectric permittivity;Debve model","Dairy products;Dielectrics;Permittivity;Dielectric measurement;Fats;Probes;Frequency measurement","dairy products;permittivity","pasteurized milks;storage time;opened milk;imaginary part;complex dielectric permittivity spectra;dielectric properties;fat content;natural yoghurt;vector network analyzer;open-ended coaxial-line probe;tested products;pH value;three-pole Debye model;two-pole Debye model;three-pole Debye function;frequency 200.0 MHz to 20.0 GHz","","","11","","","","","IEEE","IEEE Conferences"
"Analysis and optimization of dynamic conditions for a B-Double","A. Modi","Faculty of Automotive and Construction Machinery, Warsaw University of Technology, 04-017, Warsaw, Poland","2018 XI International Science-Technical Conference Automotive Safety","","2018","","","1","6","The complex problem of controlling yaw and lateral dynamics in long combinations of heavy vehicles is discussed in this research paper. Yaw and lateral instability in heavy vehicles is one of the main reasons of the traffic accidents and it is even more critical in long combinations where a truck leads multiple towed units. Such vehicle configurations, in lane change maneuvers, exhibit yaw rate and lateral acceleration amplifications, causing tail swings of the towed units. One of such multiple trailer combinations are the B-Doubles combination, in which the fifth wheel coupling is located at the rear of the lead, trailer, which is mounted on the rear section located immediately above the lead trailer axles. The contribution of this work is the design of a linear single track model for the vehicle and to reduce, the Rearward Amplification (RWA) of the yaw dynamics in the three rearmost units of the B-Double combination. This paper presents a dynamic model for the B-double which is simulated for several driving speeds and variations in load. Simulations are carried out to portray the effect of the double lane change maneuver for the Yaw rate, Slip angles and articulation angles for a steerable dolly.","","978-1-5386-4578-9","10.1109/AUTOSAFE.2018.8373331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8373331","B-Double;Double Lance change;Yaw Stability;Rearward Amplification","Mathematical model;Axles;Acceleration;Agricultural machinery;Gravity;Tires","axles;mechanical stability;road vehicles;steering systems;vehicle dynamics;wheels","Rearward Amplification;yaw dynamics;B-Double combination;double lane change maneuver;yaw rate;lateral dynamics;traffic accidents;towed units;lateral acceleration amplifications;tail swings;B-Doubles combination;lead trailer axles;dynamic conditions optimization;wheel coupling;linear single track model design;slip angles;articulation angles;steerable dolly;heavy vehicles stability","","","9","","","","","IEEE","IEEE Conferences"
"Solving Many-Objective Optimization Problems via Multistage Evolutionary Search","H. Chen; R. Cheng; W. Pedrycz; Y. Jin","College of Systems Engineering, National University of Defense Technology, Changsha 410073, China.; Shenzhen Key Laboratory of Computational Intelligence, University Key Laboratory of Evolving Intelligent Systems of Guangdong Province, Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen 518055, China (e-mail: ranchengcn@gmail.com).; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB T6G 2V4, Canada, also with the Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah 21589, Saudi Arabia, and also with the Systems Research Institute, Polish Academy of Sciences, 01447 Warsaw, Poland.; Department of Computer Science, University of Surrey, Guildford GU2 7XH, U.K..","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","2019","PP","99","1","13","With the increase in the number of optimization objectives, balancing the convergence and diversity in evolutionary multiobjective optimization becomes more intractable. So far, a variety of evolutionary algorithms have been proposed to solve many-objective optimization problems (MaOPs) with more than three objectives. Most of the existing algorithms, however, find difficulties in simultaneously counterpoising convergence and diversity during the whole evolutionary process. To address the issue, this paper proposes to solve MaOPs via multistage evolutionary search. To be specific, a two-stage evolutionary algorithm is developed, where the convergence and diversity are highlighted during different search stages to avoid the interferences between them. The first stage pushes multiple subpopulations with different weight vectors to converge to different areas of the Pareto front. After that, the nondominated solutions coming from each subpopulation are selected for generating a new population for the second stage. Moreover, a new environmental selection strategy is designed for the second stage to balance the convergence and diversity close to the Pareto front. This selection strategy evenly divides each objective dimension into a number of intervals, and then one solution having the best convergence in each interval will be retained. To assess the performance of the proposed algorithm, 48 benchmark functions with 7, 10, and 15 objectives are used to make comparisons with five representative many-objective optimization algorithms.","2168-2232","","10.1109/TSMC.2019.2930737","National Basic Research Program of China (973 Program); Program for Guangdong Introducing Innovative and Entrepreneurial Teams; Shenzhen Peacock Plan; Science and Technology Innovation Committee Foundation of Shenzhen; Program for University Key Laboratory of Guangdong Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8790995","Evolutionary algorithm;many-objective optimization;multistage optimization","Convergence;Sociology;Shape;Evolutionary computation;Pareto optimization","","","","","","","","","","IEEE","IEEE Early Access Articles"
"An Application of Novel Nature-Inspired Optimization Algorithms to Auto-Tuning State Feedback Speed Controller for PMSM","T. Tarczewski; L. M. Grzesiak","Department of Automatics and Measurement Systems, Nicolaus Copernicus University, Torun, Poland; Institute of Control and Industrial Electronics,Warsaw University of Technology, Warsaw, Poland","IEEE Transactions on Industry Applications","","2018","54","3","2913","2925","This paper focuses on application of novel nature-inspired optimization algorithms to auto-tuning state feedback speed controller (SFC) for permanent magnet synchronous motor (PMSM). An artificial bee colony (ABC) algorithm and a flower pollination algorithm (FPA) are employed to obtain weighting matrices Q and R elements in linear quadratic regulator (LQR) optimization process. Information concerning principles of operation and influence of the control parameters on the both optimization algorithms are presented. Necessary modifications of ABC and FPA required for their successful application in a field of automatic control of electrical drive are depicted, including introduction of constraint-handling method that assures proper and safety operation of the motor and construction of performance indexes to provide the fulfillment of specified requirements. To the best of our knowledge, this is the first time that FPA is applied to auto-tuning process of SFC. On the basis of numerous tests, including simulation and experimental results, it is shown that the ABC is the most useful among the two optimization algorithms to obtain a better performance of the PMSM drive.","1939-9367","","10.1109/TIA.2018.2805300","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8290726","Artificial bee colony (ABC) optimization;auto-tuning;flower pollination algorithm (FPA);motion control;permanent magnet synchronous motor (PMSM);state feedback controller (SFC);variable speed drive (VSD)","Optimization;State feedback;Tuning;Permanent magnet motors;Safety;Feedback linearization","control system synthesis;linear quadratic control;machine control;optimisation;permanent magnet motors;state feedback;synchronous motors","novel nature-inspired optimization algorithms;auto-tuning state feedback speed controller;PMSM;permanent magnet synchronous motor;artificial bee colony algorithm;ABC;flower pollination algorithm;FPA;linear quadratic regulator optimization process;automatic control;auto-tuning process","","4","34","","","","","IEEE","IEEE Journals"
"Objective Functions in Fuzzy Cognitive Maps: the Case of Time Series Modeling","W. Homenda; A. Jastrzębska","Faculty of Economics and Informatics in Vilnius, University of Białystok, Vilnius, LT-08221, Lithuania; Faculty of Mathematics and Information Science, Warsaw University of Technology, Warsaw, Poland","2018 Joint 7th International Conference on Informatics, Electronics & Vision (ICIEV) and 2018 2nd International Conference on Imaging, Vision & Pattern Recognition (icIVPR)","","2018","","","131","136","The following topics are dealt with: feature extraction; learning (artificial intelligence); pattern classification; medical image processing; image colour analysis; convolutional neural nets; object detection; computer vision; diseases; biomedical optical imaging.","","978-1-5386-5163-6","10.1109/ICIEV.2018.8641054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8641054","","Fuzzy cognitive maps;Time series analysis;Optimization;Linear programming;Numerical models;Mean square error methods;Measurement uncertainty","feature extraction;image colour analysis;learning (artificial intelligence);medical image processing;pattern classification","feature extraction;learning (artificial intelligence);pattern classification;medical image processing;image colour analysis;convolutional neural nets;object detection;computer vision;diseases;biomedical optical imaging","","","12","","","","","IEEE","IEEE Conferences"
"Social-oriented Mobile Cloud Offload processing with delay constraints for efficient energy conservation","C. X. Mavromoustakis; G. Mastorakis; J. M. Batalla; P. Chatzimisios","Department of Computer Science, University of Nicosia, 46 Makedonitissas Avenue, P.O. Box 24005, 1700 Nicosia, Cyprus; Department of Informatics Engineering, Technological Educational Institute of Crete, Heraklion, 71500, Crete, Greece; National Institute of Telecommunications and Warsaw University of Technology, Szachowa Str., 1 and Nowowiejska str. 15/19, Warsaw, Poland; CSSN Research Lab Alexander Technological Educational Institute of Thessaloniki, Thessaloniki, Greece","2017 IEEE International Conference on Communications (ICC)","","2017","","","1","7","The utilization of social parameters, such as the centrality principle, is vital to be considered, in order to optimally exploit the behaviour of Mobile Cloud devices. This work elaborates on the design and exploitation of social and device-centric parameters, as a typical prediction-based method in Mobile Cloud Systems with delay constraints. Based on this consideration, this work introduces a Content-oriented Social Offloading (CSO) scheme. The proposed CSO scheme is based on utilizing the complex characteristics of social communities, in order to optimally choose the mobile node for applying the offloading process, resulting in minimized energy consumption for each mobile device. The proposed scheme aims at saving resources on the user's device, thus minimizing energy consumption and prolonging the device's lifetime. A thorough assessment has been performed, in order to evaluate the performance of the proposed scheme, while delay-sensitive “critical-process executions” are taking place. Furthermore, we carry out a comparison against other similar schemes under the same conditions, in order to validate the efficiency of the proposed framework, with respect to the energy conservation of the mobile nodes.","1938-1883","978-1-4673-8999-0","10.1109/ICC.2017.7996633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996633","Energy Conservation Scheme;Social Metrics;Mobile Cloud Offload Processing;Social-oriented Mobile Cloud","Next generation networking;Mobile communication;Cloud computing;Energy conservation;Measurement;Silicon","cloud computing;energy conservation;energy consumption;mobile computing;power aware computing","mobile nodes;critical-process executions;device lifetime prolongation;resources saving;energy consumption minimization;CSO scheme;content-oriented social offloading scheme;prediction-based method;device-centric parameters;mobile cloud device behaviour;energy conservation;delay constraint;social-oriented mobile cloud offload processing","","6","20","","","","","IEEE","IEEE Conferences"
"Modeling Irrational Consumer Behaviors with Cognitive Maps : An Outline of a Framework","A. Jastrzębska; W. Jastrzębska","Faculty of Mathematics and Information Science, Warsaw University of Technology, Warsaw, Poland; Faculty of Economics, University of Rzeszów, Rzeszów, Poland","2018 Joint 7th International Conference on Informatics, Electronics & Vision (ICIEV) and 2018 2nd International Conference on Imaging, Vision & Pattern Recognition (icIVPR)","","2018","","","153","158","Decision making processes are in the core of many sciences, including psychology, economics, sociology, information sciences, mathematics and others. Understanding mechanisms of these processes and modeling human decision processes is extremely important, especially from the point of view of economics. Consumer, the main subject of the market game, makes choices that influence not only his own environment, but also prosperity of other entities. In this paper, we present a preliminary investigation on computational models of decision making that take into account irrationality of human beings. The ultimate goal of the planned research is to prepare a new, not yet present in the theory of economics, consumer behavior model, which is rooted in the theory of human needs. We aim at constructing a model of a consumer, which allows to depict knowledge at different generalization levels. We address the necessity for the following elements in the model: aggregation operators, fitted similarity measure, knowledge space structuring, and Cognitive Maps. The originality and innovativeness of this approach to consumer decision making lies in its interdisciplinary character.","","978-1-5386-5163-6","10.1109/ICIEV.2018.8641066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8641066","component;cognitive maps;consumer behaviour","Biological system modeling;Decision making;Economics;Mathematical model;Computational modeling;Consumer behavior;Psychology","consumer behaviour;decision making;decision theory;psychology","modeling human decision processes;market game;preliminary investigation;account irrationality;human beings;consumer behavior model;cognitive maps;consumer decision making;modeling irrational consumer behaviors;sciences;mathematics;understanding mechanisms","","","13","","","","","IEEE","IEEE Conferences"
"Assessment of Protein Fractions of RBCs in Stroke under Influence of Nanodiamonds in vitro","B. Liliya; K. Natalya; M. Oksana","Kharkiv National Medical University,Department of Medical and Biological Physics and Medical Information Science,Kharkiv,Ukraine; Institute of Aeronautics and Applied Mechanics, Warsaw University of Technology,Warsaw,Poland; Kharkiv City Clinical Hospital No 7,Kharkiv,Ukraine","2018 IEEE 8th International Conference Nanomaterials: Application & Properties (NAP)","","2018","","","1","4","Nanodiamonds have unique properties and demonstrate exceptional performance in various fields of investigation and biotechnology, especially in medicine as drug delivery system. Quantitative changes in the red blood cell (RBC) membrane proteins in acute ischemic stroke patients have been studied. The increased amount of ankyrin 2.4, 2.5 fractions, protein of band 3, protein of band 4.1, 4.2 and 4.9 fractions, protein of band 6, tropomyosin (protein of band 7) and protein of band 8 in patients with ischemic stroke have been detected. Increase in the content of spectrin, fractions 2.2, 2.3 (ankyrin), protein of band 2.5, 4.1, glucose transporter and protein of band 8, and decrease in the protein of band 4.2, 4.9 and an increase in the protein of band 4.2, 4.9 and p5 protein of band 5 (actin) from the samples with the nanodiamonds added have been observed. It is concluded that nanodiamonds plays an important role in regulation of the quantitative misbalances of the erythrocyte membrane proteins in the patients with acute ischemic stroke.","","978-1-5386-5333-3","10.1109/NAP.2018.8915073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915073","nanodiamonds;red blood cell membranes;stroke","Proteins;Biomembranes;Nanoparticles;Protein engineering;Red blood cells;Cells (biology)","biomedical materials;biomembranes;blood;cellular biophysics;diamond;drug delivery systems;molecular biophysics;nanomedicine;nanostructured materials;proteins","ankyrin;red blood cell membrane proteins;spectrin;glucose transporter;actin;tropomyosin;nanodiamonds in vitro;erythrocyte membrane proteins;acute ischemic stroke patients;drug delivery system;biotechnology;RBCs;protein fractions;quantitative misbalances;C","","","45","","","","","IEEE","IEEE Conferences"
