Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Plugin Networks for Inference under Partial Evidence,M. Koperski; T. Konopczyński; R. Nowak; P. Semberecki; T. Trzciński,"Tooploox; Heidelberg University Tooploox; University of Wroclaw Tooploox,Institute of Computer Science; Wroclaw University of Science and Technology Tooploox; Warsaw University of Technology Tooploox",2020 IEEE Winter Conference on Applications of Computer Vision (WACV),,2020,,,2872,2880,"In this paper, we propose a novel method to incorporate partial evidence in the inference of deep convolutional neural networks. Contrary to the existing, top-performing methods, which either iteratively modify the input of the network or exploit external label taxonomy to take the partial evidence into account, we add separate network modules (""Plugin Networks"") to the intermediate layers of a pretrained convolutional network. The goal of these modules is to incorporate additional signal, i.e. information about known labels, into the inference procedure, and adjust the predicted output accordingly. Since the attached plugins have a simple structure, consisting of only fully connected layers, we drastically reduced the computational cost of training and inference. Also, the proposed architecture allows propagating information about known labels directly to the intermediate layers to improve the final representation. Extensive evaluation of the proposed method confirms that our Plugin Networks outperform the state-of-the-art in a variety of tasks, including scene categorization, multilabel image annotation, and semantic segmentation.",2642-9381,978-1-7281-6553-0,10.1109/WACV45572.2020.9093644,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9093644,,Task analysis;Training;Visualization;Neural networks;Image segmentation;Image annotation;Image recognition,,,,,29,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
An FPGA-Based High-Speed Error Resilient Data Aggregation and Control for High Energy Physics Experiment,S. Mandal; J. Saini; W. M. Zabołotny; S. Sau; A. Chakrabarti; S. Chattopadhyay,"Variable Energy Cyclotron Center, HBNI, Saltlake, Kolkata, India; Variable Energy Cyclotron Center, HBNI, Saltlake, Kolkata, India; Warsaw University of Technology, Warsaw, Poland; University of Calcutta, Kolkata, India; University of Calcutta, Kolkata, India; Variable Energy Cyclotron Center, HBNI, Saltlake, Kolkata, India",IEEE Transactions on Nuclear Science,,2017,64,3,933,944,"Due to the dramatic increase of data volume in modern high energy physics (HEP) experiments, a robust high-speed data acquisition (DAQ) system is very much needed to gather the data generated during different nuclear interactions. As the DAQ works under harsh radiation environment, there is a fair chance of data corruption due to various energetic particles like alpha, beta, or neutron. Hence, a major challenge in the development of DAQ in the HEP experiment is to establish an error resilient communication system between front-end sensors or detectors and back-end data processing computing nodes. Here, we have implemented the DAQ using field-programmable gate array (FPGA) due to some of its inherent advantages over the application-specific integrated circuit. A novel orthogonal concatenated code and cyclic redundancy check (CRC) have been used to mitigate the effects of data corruption in the user data. Scrubbing with a 32-b CRC has been used against error in the configuration memory of FPGA. Data from front-end sensors will reach to the back-end processing nodes through multiple stages that may add an uncertain amount of delay to the different data packets. We have also proposed a novel memory management algorithm that helps to process the data at the back-end computing nodes removing the added path delays. To the best of our knowledge, the proposed FPGA-based DAQ utilizing optical link with channel coding and efficient memory management modules can be considered as first of its kind. Performance estimation of the implemented DAQ system is done based on resource utilization, bit error rate, efficiency, and robustness to radiation.",1558-1578,,10.1109/TNS.2017.2656464,"Bose Institute Indo FAIR Coordination Committee, India; TEQIP-II project, University of Calcutta; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828104,Cyclic redundancy checking (CRC);data acquisition;error correction;field-programmable array (FPGA);high energy physics (HEP);orthogonal concatenated code,Field programmable gate arrays;Data acquisition;Detectors;Adaptive optics;Delays;High-speed optical techniques;Decoding,field programmable gate arrays;high energy physics instrumentation computing,memory management algorithm;back-end processing nodes;field-programmable gate array;back-end data processing computing nodes;HEP experiment;data corruption;DAQ;data acquisition system;high energy physics experiment;FPGA-based high-speed error resilient data aggregation,,2,26,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Experimental Methods and Results for the Evaluation of Triple Modular Redundancy SEU Mitigation Techniques with the Xilinx Kintex-7 FPGA,K. M. Sielewicz; G. A. Rinella; M. Bonora; P. Giubilato; M. Lupi; M. J. Rossewij; J. Schambach; T. Vanat,"European Organization for Nuclear Research (CERN), 1210 Geneva, Switzerland and Warsaw University of Technology, the Institute of Electronic Systems, Warsaw, Poland; European Organization for Nuclear Research (CERN), 1210 Geneva, Switzerland; European Organization for Nuclear Research (CERN), 1210 Geneva, Switzerland and University of Salzburg, Austria; European Organization for Nuclear Research (CERN), 1210 Geneva, Switzerland; European Organization for Nuclear Research (CERN), 1210 Geneva, Switzerland and Goethe University Frankfurt, Frankfurt am Main, Germany; Utrecht University, Department of Physics, Scientific Instrumentation, 3584CA Utrecht, The Netherlands; University of Texas at Austin, Department of Physics, Austin, TX, Texas 78712-0264, USA; Czech Technical University, Department of Digital Design, 160 00 Praha, Czech Republic and the Czech Academy of Sciences, Nuclear Physics Institute, 250 68 Řež, Czech Republic",2017 IEEE Radiation Effects Data Workshop (REDW),,2017,,,1,7,This paper describes experimental methods and results for the evaluation of triple modular redundancy SEU mitigation techniques with the Xilinx Kintex-7 FPGA. Testing was performed both in proton irradiation and fault injection tests.,2154-0535,978-1-5090-4647-8,10.1109/NSREC.2017.8115451,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115451,,Registers;Field programmable gate arrays;Table lookup;Logic testing;Generators;Radiation effects,field programmable gate arrays;redundancy,experimental methods;triple modular redundancy SEU mitigation techniques;Xilinx Kintex-7 FPGA,,1,20,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
TADeus-a tool for clinical interpretation of structural variants modifying chromatin organization,B. Poszewiecka; P. Stankiewicz; T. Gambin; A. Gambin,"Institute of Informatics faculty of Mathematics, Informatics and Mechanics University of Warsaw, Warsaw, Poland; Department of Molecular and Human Genetics, Baylor College of Medicine Houston, TX, USA; Institute of Computer Science Warsaw University of Technology, Warsaw, Poland; Institute of Informatics faculty of Mathematics, Informatics and Mechanics University of Warsaw, Warsaw, Poland",2018 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,2018,,,84,87,"Chromosomal rearrangements spanning non-coding regions may convey an abnormal phenotype by various position effects. Alterations in chromosome structure can disrupt interactions between gene promoters and their regulatory elements or place genes in an inappropriate chromosomal domain. Evaluation of the impact of such genomic aberrations on gene expression has been often neglected, especially when other structural variants (SVs) affecting genes are detected. Another reason for not considering such rearrangements has been the lack of appropriate methods or tools to visualize and prioritize the neighboring genes according to their clinical relevance.To address these challenges, we developed TADeus, an easy-to-use open-source web application dedicated for clinical evaluation of variants in genes whose expression may be affected by chromosomal rearrangements. The main functionality of TADeus provides a view of regulatory landscape of regions surrounding breakpoints of the rearrangements by combing chromatin conformation data (Hi-C) with other omics data. TADeus prioritizes genes using number of interrupted enhancer-promoter interactions, the distance from the breakpoints, the phenotypic data, and haploinsufficiency scores. In addition, TADeus can serve as a genomic browser that shows Hi-C matrices with one-dimensional genomic data and allows users to compare Hi-C data from different tissues.",,978-1-5386-5488-0,10.1109/BIBM.2018.8621301,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621301,Topologically Associating Domain;chromosomal rearrangement;balanced chromosomal rearrangement;chromatin conformation;position effect;clinical genetics,Bioinformatics;Genomics;Diseases;Databases;Browsers;Tools,cellular biophysics;DNA;genetics;genomics;medical computing;molecular biophysics,chromosomal rearrangements;chromatin conformation data;TADeus prioritizes genes;interrupted enhancer-promoter interactions;phenotypic data;one-dimensional genomic data;TADeus-a tool;clinical interpretation;chromatin organization;noncoding regions;abnormal phenotype;position effects;chromosome structure;gene promoters;regulatory elements;place genes;inappropriate chromosomal domain;genomic aberrations;gene expression;structural variants affecting genes;neighboring genes;clinical relevance;open-source web application;clinical evaluation;genes whose expression,,,19,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Identification of Epigenetic Biomarkers with the use of Gene Expression and DNA Methylation for Breast Cancer Subtypes,I. Saha; S. Rakshit; M. Wlasnowolski; D. Plewczynski,"National Institute of Technical Teachers' Training and Research,Department of Computer Science and Engineering,Kolkata,India; Laboratory of Functional and Structural Genomics, Center of New Technologies, University of Warsaw,Warsaw,Poland; Warsaw University of Technology,Faculty of Mathematics and Information Science,Warsaw,Poland; Laboratory of Functional and Structural Genomics, Center of New Technologies, University of Warsaw,Warsaw,Poland",TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON),,2019,,,417,422,"Breast cancer is one of the most deadly cancers. It has four subtypes: Luminal A (LA), Luminal B (LB), HER2-enriched (HER2-E) and Basal-like (BL). For the cause of breast cancer subtypes, there are different genetic and epigenetic factors involved in its progression and susceptibility. Thus, the identification of genetic and/or epigenetic biomarkers can be helpful to understand the biological mechanisms better and to improve the diagnostic processes of this disease and its subtypes. Hence, this fact motivated us to investigate the epigenetic factor, such as DNA Methylation, with the integration of gene expression in order to find epigenetic biomarkers for breast cancer subtypes. In this regard, we have identified set of up and down regulated genes for each subtype using differential analysis. Thereafter, regression based feature ranking problem is formed in order to find the DNA Methylation site that is mostly responsible for the change in expression of a gene, which is considered as an epigenetic biomarker. A bagging integrated ensemble of decision trees is used for the same. The results of top ten up and down regulated genes and their corresponding most significant DNA Methylation sites are reported for breast cancer subtypes. Moreover, these genes are validated visually by means of survival and expression plots, showing TF-Gene-DNA Methylation interactions, Protein-Protein interaction network, KEGG pathway and GO enrichment analysis. The results show that top differentially expressed up and down regulated genes viz. MMP11, NUF2, EXO1, HJURP, HOXA4, SYNM, CAV1 and COL4A3BP in breast cancer subtypes may change their expression because of DNA Methylation sites viz. cg22418565, cg26029744, cg24741598, cg04550103, cg25952581, cg02109162, cg18498156 and cg04985097 respectively. The code, datasets and supplementary material are present online11http://www.nitttrkol.ac.in/indrajit/projects/epigenetic-mrna-breastcancer-subtypes/.",2159-3450,978-1-7281-1895-6,10.1109/TENCON.2019.8929636,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929636,Breast cancer subtypes;Multi-omics data;Differential analysis;DNA Methylation,DNA;Breast cancer;Genomics;Bioinformatics;Bagging,cancer;cellular biophysics;DNA;genetics;genomics;gynaecology;medical computing;molecular biophysics;proteins;regression analysis,epigenetic biomarker;breast cancer subtypes;TF-Gene-DNA Methylation interactions;gene expression;genetic factors;epigenetic factors;DNA Methylation sites;luminal A;luminal B;diagnostic processes o;regression based feature ranking problem;KEGG pathway;protein-protein interaction network;GO enrichment analysis;differential analysis;HER2-enriched;Basal-like;biological mechanisms;diagnostic processes,,,19,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Presentation Attack Detection for Cadaver Iris,M. Trokielewicz; A. Czajka; P. Maciejewicz,"Institute of Control and Computation Engineering, Warsaw University of Technology, Nowowiejska 15/19, Warsaw, 00665, Poland; Department of Computer Science and Engineering, University of Notre Dame, IN, USA; Department of Ophthalmology, Medical University of Warsaw, Lindleya 4, Warsaw, 02005, Poland","2018 IEEE 9th International Conference on Biometrics Theory, Applications and Systems (BTAS)",,2018,,,1,10,"This paper presents a deep-learning-based method for iris presentation attack detection (PAD) when iris images are obtained from deceased people. Post-mortem iris recognition, despite being a potentially useful method that could aid forensic identification, can also pose challenges when used inappropriately, i.e. utilizing a dead organ of a person in an unauthorized way. Our approach is based on the VGG-16 architecture fine-tuned with a database of 574 post-mortem, near-infrared iris images from the WarsawBioBase-PostMortem-Iris-v1 database, complemented by a dataset of 256 images of live irises, collected within the scope of this study. Experiments described in this paper show that our approach is able to correctly classify iris images as either representing a live or a dead eye in almost 99% of the trials, averaged over 20 subject-disjoint, train/test splits. We also show that the post-mortem iris detection accuracy increases as time since death elapses, and that we are able to construct a classification system with APCER=0%@BPCER≈1% (Attack Presentation and Bona Fide Presentation Classification Error Rates, respectively) when only post-mortem samples collected at least 16 hours post-mortem are considered. Since acquisitions of ante- and post-mortem samples differ significantly, we applied countermeasures to minimize bias in our classification methodology caused by image properties that are not related to the PAD. This included using the same iris sensor in collection of ante- and post-mortem samples, and analysis of class activation maps to ensure that discriminant iris regions utilized by our classifier are related to properties of the eye, and not to those of the acquisition protocol. This paper offers the first known to us PAD method in a postmortem setting, together with an explanation of the decisions made by the convolutional neural network. Along with the paper we offer source codes, weights of the trained network, and a dataset of live iris images to facilitate reproducibility and further research.",2474-9699,978-1-5386-7180-1,10.1109/BTAS.2018.8698542,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8698542,,Iris recognition;Iris;Training;Cadaver;Data models;Protocols;Convolutional neural networks,biometrics (access control);convolutional neural nets;image classification;iris recognition;learning (artificial intelligence);source code (software);visual databases,cadaver Iris;iris presentation attack detection;post-mortem iris recognition;VGG-16 architecture fine-tuned;574 post-mortem;WarsawBioBase-PostMortem-Iris-v1 database;Attack Presentation;Bona Fide Presentation Classification Error Rates;image properties;iris sensor;discriminant iris regions;PAD method;post-mortem iris detection accuracy;convolutional neural network;acquisition protocol;deep-learning-based method;source codes,,1,38,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Equal Gain Combining Technique in Analog Feedback Communication System,R. Tengshe; N. Kumar; A. Platonov,"CMR Institute of Technology, Bangalore, India; Dept. of ECE, Amrita School of Engineering Bengaluru, Amrita Vishwa Vidyapeetham University, India; Institute of Electronic systems, Warsaw University of Technology, Warsaw, Poland",2019 International Conference on Communication and Signal Processing (ICCSP),,2019,,,823,828,"This work explores and analyzes the analog feedback communication system (AFCS) architecture and its performance with equal gain combining (EGC) technique. AFCS system reaches the Shannon capacity limit which is not obtained in the most popular and widely used digital communication systems. AFCS system in its basic form consists of a forward link and a dedicated feedback channel and uses mean square error (MSE) as performance parameter which results in optimum performance. In this work, AFCS with receiver diversity, specifically EGC is studied and investigated. AFCS system model is developed, its performance is investigated and studied based on MSE calculation. The analysis showed that the AFCS system with diversity has improved the MSE and power bandwidth efficiency. Furthermore, with EGC desired MSE can be achieved in less number of iterations. Additionally, analysis showed that using optimized AFCS, bit rate which is equal to the capacity of the forward channel is achievable if analog sample is transmitted in threshold number of cycles.",,978-1-5386-7595-3,10.1109/ICCSP.2019.8697924,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697924,Analog Communication with Feedback;Equal Gain Combining;MSE;Power- Bandwidth Efficiency;Shannon Capacity,Modulation;Diversity reception;Channel estimation;Receivers;Digital communication;Spectral efficiency;Kalman filters,channel capacity;diversity reception;feedback;mean square error methods,equal gain combining technique;analog feedback communication system architecture;dedicated feedback channel;MSE;performance parameter;optimum performance;AFCS system model;optimized AFCS;EGC technique;digital communication systems;mean square error;power bandwidth efficiency;bit rate;forward channel capacity;Shannon capacity limit;forward link;receiver diversity,,,12,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
The Impact of Input Parameters on the Reliability of Aircraft,M. Woch; M. Zieja; J. Tomaszewska,"Faculty of Power and Aeronautical Engineering, Warsaw University of Technology, Warsaw, Poland; Division for IT Support of Logistics, Air Force Institute of Technology, Warsaw, Poland; Faculty of Aviation, Polish Air Force Academy, Deblin, Poland",2018 3rd International Conference on System Reliability and Safety (ICSRS),,2018,,,210,214,"This contribution intends to present procedures for Single Flight Probability of Failure calculations. Described mathematical models were the basis for creation of the original software Aircraft Structural Reliability Assessment (AStRAss), that allows comprehensive reliability calculations of the point of aircraft structure under real operating conditions. The theme of the paper is to present the sensitivity of failure rate to the input data, such as initial crack size distribution, stress intensity factor, stress, crack size and crack growth curve.",,978-1-7281-0238-2,10.1109/ICSRS.2018.8688835,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8688835,airframe;risk analysis;reliability research;single flight probability of failure;AStRAss;PRoF,,aircraft;cracks;failure analysis;probability;reliability;remaining life assessment;structural engineering,comprehensive reliability calculations;aircraft structure;failure rate;initial crack size distribution;crack growth curve;mathematical models;failure calculations;single flight probability;aircraft structural reliability assessment;stress intensity factor,,,28,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Big Data Analytics for Event Detection in the IoT-Multicriteria Approach,J. Granat; J. M. Batalla; C. X. Mavromoustakis; G. Mastorakis,"National Institute of Telecommunications, Warsaw, Poland; Warsaw University of Technology, Warsaw, Poland; University of Nicosia, Nicosia, Cyprus; Hellenic Mediterranean University, Heraklion, Greece",IEEE Internet of Things Journal,,2020,7,5,4418,4430,"Security requirements applicable to the Internet of Things (IoT) should aim to ensure integrity, authenticity and authorization, confidentiality/privacy, nonrepudiation, and last but not least, availability. Classic data analysis algorithms are no longer valid for assuring security at all levels and a new approach to data sciences is required, which would consider the complex heterogeneous nature of the IoT, taking also into consideration, its potential to deploy cross layer for security assessment mechanisms. Furthermore, data collected from sensors should be processed and analyzed nearly in real time. The classical algorithms have two main drawbacks: 1) they deal with unidimensional data and 2) they fail to assume limited information available in the stream data processing. In this article, new solutions are discussed and presented that detect anomalies in data streams nearly in real time. Specifically, we propose: 1) an event detection method used in unidimensional data streams and relying on the event strength function, which is an extension of the typical “True or False” decision-making scheme; 2) multiple-criteria event detection approaches based on the Dynamic Pareto Set, introducing a time-depending decision set; and 3) an anomaly detection method based on multicriteria temporal graphs, combining the dynamics of decision making and multicriteria. All the proposed algorithms are presented by means of their formal description and are illustrated with examples.",2327-4662,,10.1109/JIOT.2019.2957320,"National Science Centre, Poland, through the Context-Aware Adaptation Framework for eMBB Services in 5G Networks; National Centre of Research and Development, Poland; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920092,Anomaly detection;data mining;Internet of Things (IoT) security;multicriteria decision making,Security;Internet of Things;Sensors;Logic gates;Event detection;Data analysis,,,,,42,IEEE,,,,IEEE,IEEE Journals,,,,,,,,,,,
Objective Functions in Fuzzy Cognitive Maps: the Case of Time Series Modeling,W. Homenda; A. Jastrzębska,"Faculty of Economics and Informatics in Vilnius, University of Białystok, Vilnius, LT-08221, Lithuania; Faculty of Mathematics and Information Science, Warsaw University of Technology, Warsaw, Poland","2018 Joint 7th International Conference on Informatics, Electronics & Vision (ICIEV) and 2018 2nd International Conference on Imaging, Vision & Pattern Recognition (icIVPR)",,2018,,,131,136,The following topics are dealt with: feature extraction; learning (artificial intelligence); pattern classification; medical image processing; image colour analysis; convolutional neural nets; object detection; computer vision; diseases; biomedical optical imaging.,,978-1-5386-5163-6,10.1109/ICIEV.2018.8641054,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8641054,,Fuzzy cognitive maps;Time series analysis;Optimization;Linear programming;Numerical models;Mean square error methods;Measurement uncertainty,feature extraction;image colour analysis;learning (artificial intelligence);medical image processing;pattern classification,feature extraction;learning (artificial intelligence);pattern classification;medical image processing;image colour analysis;convolutional neural nets;object detection;computer vision;diseases;biomedical optical imaging,,,12,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Smart Television Services Using NFV/SDN Network Management,N. Jawad; M. Salih; K. Ali; B. Meunier; Y. Zhang; X. Zhang; R. Zetik; C. Zarakovitis; H. Koumaras; M. Kourtis; L. Shi; W. Mazurczyk; J. Cosmas,"Department of Electronic and Computer Engineering, Brunel University, Uxbridge, U.K.; Department of Electronic and Computer Engineering, Brunel University, Uxbridge, U.K.; Department of Electronic and Computer Engineering, Brunel University, Uxbridge, U.K.; Department of Electronic and Computer Engineering, Brunel University, Uxbridge, U.K.; Department of Engineering, University of Leicester, Leicester, U.K.; Department of Electronic and Computer Engineering, Institute Supérieur d’Electronique de Paris, Paris, France; Department Wireless Distribution Systems, Fraunhofer Institute for Integrated Circuits IIS, Fraunhofer-Gesellschaft zur Foerderung der Angewandten Forschung E.V., Erlangen, Germany; National Centre for Scientific Research-Demokritos, Institute of Informatics and Telecommunications, Athens, Greece; National Centre for Scientific Research-Demokritos, Institute of Informatics and Telecommunications, Athens, Greece; National Centre for Scientific Research-Demokritos, Institute of Informatics and Telecommunications, Athens, Greece; Department of Electronic and Computer Engineering, Institute Supérieur d’Electronique de Paris, Paris, France; Institute of Telecommunications/Cybersecurity Division, Warsaw University of Technology, Warsaw, Poland; Department of Electronic and Computer Engineering, Brunel University, Uxbridge, U.K.",IEEE Transactions on Broadcasting,,2019,65,2,404,413,"Integrating joint network function virtualization (NFV) and software-defined networks (SDNs) with digital televisions (TVs) into home environments, has the potential to provide smart TV services to users, and improve their quality of experience (QoE). In this regard, this paper focuses on one of the next generation services so-called follow me service (FMS). FMS is a service offered by 5gNB to user equipments (UEs) in indoor environments (e.g., home), it enables its clients to use their smart phones to select media content from content servers, then cast it on the nearest TV set (e.g., living room) and continue watching on the next TV set (e.g., kitchen) while moving around the indoor coverage area. FMS can be provisioned by utilizing UEs geolocation information and robust mechanisms for switching between multiple 5G radio access technologies (RATs), based on the intelligence of the SDN/NFV intelligent home IP gateway of the Internet of Radio Light (IoRL) project paradigm. In view that the actual IoRL system is at its early development stage, we step forward by using Mininet platform to integrate SDN/NFV virtualization into 5G multi-RAT scenario and provide performance monitoring with measurements for the identified service. Simulation results show the effectiveness of our proposal under various use case scenarios by means of minimizing the packet loss rate and improving QoE of the home users.",1557-9611,,10.1109/TBC.2019.2898159,Horizon 2020 Framework Programme; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8649813,Software defined networks;network function virtualisation;quality of experience;Internet of radio light;intelligent home IP gateway,Servers;Frequency modulation;Smart TV;Smart phones;5G mobile communication;Quality of experience,5G mobile communication;computer network management;digital television;home networks;Internet;IP networks;quality of experience;radio access networks;software defined networking;virtualisation,packet loss rate;smart television services;software-defined networks;digital televisions;smart TV services;smart phones;content servers;QoE;Mininet platform;IoRL system;Internet of Radio Light project;intelligent home IP gateway;follow me service;next generation services;quality of experience;network function virtualization;NFV-SDN network management;5G radio access technologies,,4,26,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Social-oriented Mobile Cloud Offload processing with delay constraints for efficient energy conservation,C. X. Mavromoustakis; G. Mastorakis; J. M. Batalla; P. Chatzimisios,"Department of Computer Science, University of Nicosia, 46 Makedonitissas Avenue, P.O. Box 24005, 1700 Nicosia, Cyprus; Department of Informatics Engineering, Technological Educational Institute of Crete, Heraklion, 71500, Crete, Greece; National Institute of Telecommunications and Warsaw University of Technology, Szachowa Str., 1 and Nowowiejska str. 15/19, Warsaw, Poland; CSSN Research Lab Alexander Technological Educational Institute of Thessaloniki, Thessaloniki, Greece",2017 IEEE International Conference on Communications (ICC),,2017,,,1,7,"The utilization of social parameters, such as the centrality principle, is vital to be considered, in order to optimally exploit the behaviour of Mobile Cloud devices. This work elaborates on the design and exploitation of social and device-centric parameters, as a typical prediction-based method in Mobile Cloud Systems with delay constraints. Based on this consideration, this work introduces a Content-oriented Social Offloading (CSO) scheme. The proposed CSO scheme is based on utilizing the complex characteristics of social communities, in order to optimally choose the mobile node for applying the offloading process, resulting in minimized energy consumption for each mobile device. The proposed scheme aims at saving resources on the user's device, thus minimizing energy consumption and prolonging the device's lifetime. A thorough assessment has been performed, in order to evaluate the performance of the proposed scheme, while delay-sensitive “critical-process executions” are taking place. Furthermore, we carry out a comparison against other similar schemes under the same conditions, in order to validate the efficiency of the proposed framework, with respect to the energy conservation of the mobile nodes.",1938-1883,978-1-4673-8999-0,10.1109/ICC.2017.7996633,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996633,Energy Conservation Scheme;Social Metrics;Mobile Cloud Offload Processing;Social-oriented Mobile Cloud,Next generation networking;Mobile communication;Cloud computing;Energy conservation;Measurement;Silicon,cloud computing;energy conservation;energy consumption;mobile computing;power aware computing,mobile nodes;critical-process executions;device lifetime prolongation;resources saving;energy consumption minimization;CSO scheme;content-oriented social offloading scheme;prediction-based method;device-centric parameters;mobile cloud device behaviour;energy conservation;delay constraint;social-oriented mobile cloud offload processing,,6,20,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Covert Channels in the MQTT-Based Internet of Things,A. Velinov; A. Mileva; S. Wendzel; W. Mazurczyk,"Department of Information Technologies, Faculty of Computer Science, University Goce Delcev, Štip, Macedonia; Department of Computer Engineering and Intelligent Systems, Faculty of Computer Science, University Goce Delcev, Štip, Macedonia; Department of Computer Science, Worms University of Applied Sciences, Worms, Germany; Division of Software Engineering and Computer Architecture, Warsaw University of Technology, Warsaw, Poland",IEEE Access,,2019,7,,161899,161915,"Network covert channels are a part of the information hiding research area that deals with the secret transfer of information over communication networks. Covert channels can be utilized, for instance, for data leakage and stealthy malware communications. While data hiding in communication networks has been studied within the last years for several major communication protocols, currently no work is available that investigates covert channels for the publish-subscriber model. To fill this gap, we present the first comprehensive study of covert channels in a protocol utilizing the publish-subscriber model, i.e., the Message Queuing Telemetry Transport (MQTT) protocol which is widely deployed in Internet of Things (IoT) environments. In particular, we describe seven direct and six indirect covert channels and we evaluate and categorize them using the network information hiding patterns approach. Finally, in order to prove that MQTT-based covert channels are practically feasible and effective, we implement the chosen data hiding scheme and perform its experimental evaluation.",2169-3536,,10.1109/ACCESS.2019.2951425,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8890870,MQTT;network steganography;network covert channels;data hiding;information hiding;IoT,Protocols;Servers;Internet of Things;Quality of service;Timing;Payloads;Communication networks,data encapsulation;Internet of Things;invasive software;protocols;queueing theory;telecommunication channels;telemetry,IoT;data leakage;MQTT-based covert channel network;MQTT-based Internet of Things;network information hiding patterns approach;message queuing telemetry transport protocol;publish-subscriber model;communication protocols;data hiding scheme;stealthy malware communications;communication networks;information hiding research area,,,31,CCBY,,,,IEEE,IEEE Journals,,,,,,,,,,,
Unconstrained biometric recognition based on thermal hand images,E. Bartuzi; K. Roszczewska; A. Czajka; A. Pacut,"Biometrics Laboratory Research and Academic Computer Network (NASK), Warsaw, Poland; Biometrics Laboratory Research and Academic Computer Network (NASK), Warsaw, Poland; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Institute of Control and Computation Engineering, Warsaw University of Technology, Warsaw, Poland",2018 International Workshop on Biometrics and Forensics (IWBF),,2018,,,1,8,"This paper proposes a biometric recognition method based on thermal images of inner part of the hand, and a database of 21,000 thermal images of both hands acquired by a specialized thermal camera from 70 subjects. The data for each subject was acquired in three different sessions, with two first sessions organized on the same day, and the third session organized approximately two weeks apart. This allowed to analyze the stability of hand temperature in both short-term and long-term horizons. No hand stabilization or positioning devices were used during acquisition, making this setup closer to real-world, unconstrained applications. This required making our method translation-, rotation- and scale-invariant. Two approaches for feature selection and classification are proposed and compared: feature engineering deploying texture descriptors such as Binarized Statistical Image Features (BSIF) and Gabor wavelets, and feature learning based on convolutional neural networks (CNN) trained in different environmental conditions. For within-session scenario we achieved 0.36% and 0.00% of equal error rate (EER) in the first and the second approach, respectively. Between-session EER stands at 27.98% for the first approach and 17.17% for the second one. These results allow for estimation of a short-term stability of hand thermal information. This paper presents the first known to us database of hand thermal images and the first biometric system based solely on hand thermal maps acquired by thermal sensor in unconstrained scenario.",,978-1-5386-1366-5,10.1109/IWBF.2018.8401567,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401567,,Feature extraction;Thermal sensors;Image segmentation;Veins;Databases;Temperature measurement;Biomedical imaging,cameras;feature extraction;image classification;image representation;image texture;infrared imaging;learning (artificial intelligence);neural nets;statistical analysis,unconstrained biometrie recognition;thermal hand images;specialized thermal camera;hand temperature;long-term horizons;hand stabilization;feature selection;classification;feature engineering;between-session EER;short-term stability;hand thermal images;thermal sensor;convolutional neural networks;time 2.0 week,,1,19,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
